"Site Name","Site Number","Address","Town","Description","Summary","Closed","Latitude","Longitude"
"CANTON LANDFILL",27111,"JEWETT HILL RD","CANTON","6 ACRE LANDFILL CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  6 ACRE LANDFILL. THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.  DUMP IS LOCATED IN ABANDONED GRAVEL PIT.","POST-1976",44.45494,-70.29269
"GREEN ROAD STUMP DUMP",36958,"GREEN RD","FAIRFIELD","5 ACRE LANDFILL CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.63498,-69.65981
"FREEDOM LANDFILL",29406,"MITCHELL RD","FREEDOM","2 ACRE LANDFILL CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2 ACRE LANDFILL.  SW COLE NOTED THE LOCATION OF AT LEAST ONE HOMEOWNER(LEWIN) WELL <1000' AWAY CLOSURE WAS PERFORMED BY 1. ENGINEERING DYNAMICS 1224 HAMMOND ST BANGOR, MAINE 04401 (207)947-7747 2. SUB-SURFACE INVESTIGATION SW COLE ENGINEERING INC 6 LIBERTY DRIVE  BANGOR, MAINE 04401 MONITORING WELLS WILL BE INSTALLED IF THE LICENSE CAN BE EXTENDED","POST-1976",44.49879,-69.3206
"MONROE LANDFILL",29173,"MONROE RD","MONROE","1 ACRE LANDFILL CLOSED IN 1986 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1986 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 1 ACRE LANDFILL.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.  DUMP LOCATED IN BOTTOM OF A KETTLE HOLE.","POST-1976",44.61995,-69.01167
"CHINA LANDFILL",27414,"ALDER PARK RD","CHINA","5 ACRE LANDFILL CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  5 ACRE LANDFILL. THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM. ALSO A TRANSFER STATION LOCATION.","POST-1976",44.42399,-69.52375
"GILEAD LANDFILL",27165,"RTE 2","GILEAD","2.5 ACRE LANDFILL CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.39577,-70.96853
"HALLOWELL LANDFILL",27528,"TOWN FARM RD","HALLOWELL","2.5 ACRE LANDFILL CLOSED IN 1978 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1978 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2.5 ACRE LANDFILL.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM. HISTORICAL NOTES: DISPOSAL AREA IS SURROUNDED BY SURFACE WATER (STREAM, MAN-MADE POND AND SEASONAL ELEVATION OF WATER TABLE). LEACHATE PROBLEMS OBSERVED IN LATE 1970'S INSPECTIONS. DEP ORDERED CLOSURE AND COVER BY MAY 1980 (1978). NO MONITORING DATA FOUND.  THE AREA IS COMPLETELY OVERGROWN WITH SUMAC AND OTHER TREES.","POST-1976",44.29812,-69.81671
"VIENNA LANDFILL",27598,"TOWER  RD","VIENNA","0.5 ACRE LANDFILL CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 0.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.  HISTORICAL NOTES: OPENED IN 1963.  NO MONITORING AT ALL AS OF 1986.  AN APPLICATION FOR EXPANSION WAS DENIED IN 1986.  POTENTIAL GW CON-TAMINATION.","POST-1976",44.56265,-70.03177
"GUILFORD PARKMAN LANDFILL",29570,"MCPHETERS RD/DUMP RD","PARKMAN","2 ACRE LANDFILL CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",45.15645,-69.39012
"KITTERY LANDFILL",27816,"PICOTT RD","KITTERY","5 ACRE LANDFILL CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.HISTORICAL COMMENTS: DUMP ACCEPTED WASTES FROM PORTSMOUTH NAVAL SHIPYARD. SOLVENTS, PAINTS, ETC. ARE EXPECTED TO HAVE BEEN DUMPED.SITE UNDER INVESTIGATION BY SOLID WASTE.","POST-1976",43.1202,-70.75213
"STANDISH ASH SITE",79845,"RT 35 - SKIP RD","STANDISH","","","PRE-1976",43.7651,-70.51142
"MT VERNON LANDFILL",27585,"MOORES HILL RD","MOUNT VERNON","","HAS NOT BEEN FORMALLY CLOSED AS OF 2011.  2 ACRE LANDFILL . TRANSFER STATION-LANDFILL MATERIAL IS STORED AT MT. VERNON SITE AND EVENTUALLY TAKEN TO NORRIDGEWOCK.  MT. VERNON SITE REAPPLIED WITH STATE IN 1990 AND WAS APPROVED.  POTENTIAL GW CONTAM.","POST-1976",44.49716,-69.9748
"ASHLAND LANDFILL",29812,"SHERIDAN RD","ASHLAND","2 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2 ACRE LANDFILL.  CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",46.66439,-68.36665
"BRUNSWICK PLEASANT HILL LANDFILL",28380,"PLEASANT HILL RD","BRUNSWICK","12 ACRE LANDFILL CLOSED IN 1984 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSURE COMPLETED IN 1984. 12 ACRE LANDFILL.  SURFACE WATER MONITORING IS ON GOING. COLIFORM IS TRENDING UPWARD. CLAY CAP, MINOR VEGETATION, EROSION PROBLEM. LEACHATE SEEPS NOTED 7/91. SAMPLING APPEARS TO BE LIMITED TO 4 TEST WELLS AROUND THE OLD DUMP AND SURFACE WATER POINTS RUNNING ALONG THE ACCESS ROAD NEAR BOTH DUMPS.  THE OLD SITE WAS A GENERAL MUNICIPAL LANDFILL, AND IN LATER YEARS WAS USED AS A SLUDGE DUMP BY THE SEWER DISTRICT. NO LONGER ACTIVE.","POST-1976",43.89191,-70.03135
"HAYNESVILLE LANDFILL",29822,"NUMBER 9 RD","HAYNESVILLE","2.5 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",45.82413,-67.97558
"HARTLAND SLUDGE LANDFILL  PHASES I AND  II",30711,"RTE 43","HARTLAND","PHASE I:  7.5 ACRE LANDFILL CLOSED IN 1990 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.  PHASE II: 2 ACRE ACTIVE LANDFILL.","PHASE I: CLOSED IN 1990; PHASE II ACTIVE AND LICENSED TILL 2015. THE FIRST SLUDGE LANDFILL ON THIS SITE WAS LICENSED 4/25/77.  THE A SECURE LANDFILL EXPANSION WAS LICENSED 4/27/83 AND 10/8/86, ON LAND ADJACENT TO THE ORIGINAL LANDFILL.  BLUE HIDE SCRAP, BUFFING DUST AND PRETREATMENT PLANT SLUDGE FROM THE TANNERY WAS DISPOSED OF AT THE SITE UNTIL 1986. ABOUT 90% OF THE WASTEWATER FLOW IS FROM IRVING TANNING.  THE TANNERY WAS THROUGH-THE-BLUE UNTIL 1990, BUT NOW ONLY FINISHES PRE-TANNED HIDES.","POST-1976",44.88446,-69.46396
"WELD LANDFILL",29521,"RTE 142  PHILLIPS RD","WELD","2.5 ACRE LANDFILL CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.73506,-70.46062
"RICHMOND LANDFILL",27583,"LINCOLN RD","RICHMOND","10 ACRE LANDFILL CLOSED IN 1983 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1983 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 10 ACRE LANDFILL.  HISTORICAL NOTES: LANDFILL  IS NOW THROUGH BOTH CLOSING STAGES. NO GROUNDWATER MONITORING WAS EVIDENT IN THE FILE, HOWEVER TWO SURFACE WATER AREAS WERE TESTED IN 1982 AND 1983, SHOWING LITTLE CONTAMINATION.","POST-1976",44.10146,-69.79829
"SEARSMONT LANDFILL",29409,"CRIE RD","SEARSMONT","0.5 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 0.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.FIRST SELECTMAN-342-5272  342-5411  SITE IS LOCATED ON WOODBRIDGE TYPE SOIL.  THIS TYPE OF SOIL IS NOT ADEQUATE FOR LANDFILLS BECAUSE OF A HIGH POTENTIAL FOR SEEPAGE.","POST-1976",44.35891,-69.13334
"HARPSWELL LANDFILL",28899,"COMMUNITY DRIVE","HARPSWELL","1.4 ACRE LANDFILL CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 1.4 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.  COMMENTS:  STRAWBERRY CREEK LANDFILL AND INCINERATOR.  SURFACE WATER MONITORING, BUT NO MONITORING WELLS.","POST-1976",43.81508,-69.94137
"NORTH YARMOUTH DUMP",28480,"352 WEST POWNAL RD","NORTH YARMOUTH","MUNICIPAL LANDFILL.  NO MONITORING WELLS. FORMER DUMP.   NOTES FROM FILE: TOWN TO WORK WITH OWNER TO FILE DA. METALS PHYS. HAZARD NEED TO BE REMOVED/COVERED AS THERE ARE NEARBY RESIDENTS. TOWN SHOULD SAMPLE TWO WELLS.","CLOSED BUT NOT FORMERLY. MUNICIPAL LANDFILL.  NO MONITORING WELLS. FORMER DUMP.   NOTES FROM FILE: TOWN TO WORK WITH OWNER TO FILE DA. METALS PHYS. HAZARD NEED TO BE REMOVED/COVERED AS THERE ARE NEARBY RESIDENTS. TOWN SHOULD SAMPLE TWO WELLS.","PRE-1976",43.86079,-70.20639
"BRIDGTON LANDFILL",27220,"RTE 117 SANDY CREEK ROAD","BRIDGTON","9 ACRE LANDFILL CLOSED IN 1992 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1992 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  9 ACRE LANDFILL.  GEOPHYSICAL INVESTIGATION (1991) INDICATES A LEACHATE PLUME TO THE NORTHEAST AND EAST OF THE CAPPED LANDFILL. PLUME EXT-ENDS BEYOND WILLETT BROOK TO THE NORTHEAST AND EXTENDS TO BUT NOT BEYOND WILLETT BROOK TO THE EAST. SOUTHWEST PORTION IS CAPPED. ACTIVE BRUSH AND DEMO DISPOSAL IN NE PORTION. ELEVATED CHLORIDE, SODIUM, CALCIUM, IRON, MANGANESE, CHROMIUM, LEAD, AND ORGANIC COMPOUNDS (1986). NO RECENT CONTAMINATION INFO AVAILABLE IN AUGUSTA.","POST-1976",44.02668,-70.70295
"NAPLES TOWN  LANDFILL",28962,"PERLEY RD","NAPLES","3 ACRE LANDFILL CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 3 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.THE FILE CONTAINS A PROPOSAL FOR MONITORING WELLS BUT NO SAMPLING DATA.  SURFACE WATER SAMPLE ONLY FROM <1989.SITE IS <300' FROM LONG LAKE.","POST-1976",43.98701,-70.64865
